iter	RMSE
0	2.287420711
1	2.273778162
2	2.253637833
3	2.233757698
4	2.217000582
5	2.196183618
6	2.182211096
7	2.162667526
8	2.145093973
9	2.129183594
10	2.112197887
11	2.095297609
12	2.086378888
13	2.067429091
14	2.05637392
15	2.040283206
16	2.024782969
17	2.008841188
18	1.996988711
19	1.98031247
20	1.96262344
21	1.94747355
22	1.933076932
23	1.921327643
24	1.910006763
25	1.893640277
26	1.877594749
27	1.866634415
28	1.851257685
29	1.841753491
30	1.831470323
31	1.815356622
32	1.800096042
33	1.788908487
34	1.779650948
35	1.764715354
36	1.753955073
37	1.740156183
38	1.726768912
39	1.717121015
40	1.704570228
41	1.694432313
42	1.682224923
43	1.668457886
44	1.656227276
45	1.644594092
46	1.636011707
47	1.622250092
48	1.611307943
49	1.598413011
50	1.5883119
51	1.580204477
52	1.567815324
53	1.557919454
54	1.549448404
55	1.537469402
56	1.527481021
57	1.515631525
58	1.503968375
59	1.497213023
60	1.486491167
61	1.473674632
62	1.465318205
63	1.454399858
64	1.44342286
65	1.436591177
66	1.42458417
67	1.416502064
68	1.404001552
69	1.392279968
70	1.381545894
71	1.371287632
72	1.359803557
73	1.35183167
74	1.341595548
75	1.331827661
76	1.325169159
77	1.316024134
78	1.305487579
79	1.29572609
80	1.285640489
81	1.27756449
82	1.271217505
83	1.26217644
84	1.252279371
85	1.243078374
86	1.234388321
87	1.226387508
88	1.217050172
89	1.207862743
90	1.19972897
91	1.191097621
92	1.184407368
93	1.175342412
94	1.167989582
95	1.161338458
96	1.153536774
97	1.144903964
98	1.137200159
99	1.128127128
100	1.122523124
101	1.114731237
102	1.10633271
103	1.100321608
104	1.092811013
105	1.08618523
106	1.079123606
107	1.073335623
108	1.065812784
109	1.057657918
110	1.048907771
111	1.040950476
112	1.033987937
113	1.026788872
114	1.021155722
115	1.013106922
116	1.006235408
117	1.001446469
118	0.9952025437
119	0.9885399982
120	0.9827207203
121	0.9771342065
122	0.9705374586
123	0.9644601749
124	0.9586737522
125	0.9517182775
126	0.944831629
127	0.9398927297
128	0.9338203186
129	0.9261307301
130	0.9206514469
131	0.9149729737
132	0.9075504275
133	0.9015652327
134	0.8952108367
135	0.8889601466
136	0.8830910104
137	0.8765542497
138	0.8705365131
139	0.8652758099
140	0.8595519672
141	0.854268068
142	0.8487337506
143	0.8435238958
144	0.8369742682
145	0.832008061
146	0.8264071993
147	0.8215746289
148	0.8157770601
149	0.8108272275
150	0.8054404082
151	0.8003618713
152	0.7959220477
