iter	Passed	Remaining
0	0	323
1	0	253
2	0	270
3	1	280
4	1	256
5	1	262
6	1	246
7	2	251
8	2	260
9	2	263
10	2	257
11	3	258
12	3	248
13	3	250
14	3	244
15	3	238
16	4	241
17	4	245
18	4	247
19	4	242
20	5	244
21	5	246
22	5	248
23	6	244
24	6	245
25	6	248
26	6	250
27	7	249
28	7	249
29	7	251
30	7	249
31	8	247
32	8	250
33	8	248
34	8	247
35	9	248
36	9	249
37	9	250
38	10	251
39	10	251
40	10	249
41	10	250
42	11	250
43	11	250
44	11	251
45	12	251
46	12	252
47	12	253
48	13	253
49	13	253
50	13	253
51	13	251
52	14	251
53	14	249
54	14	250
55	14	250
56	15	251
57	15	251
58	15	250
59	15	248
60	16	247
61	16	247
62	16	248
63	17	249
64	17	249
65	17	247
66	17	247
67	17	245
68	18	245
69	18	246
70	18	246
71	19	246
72	19	245
73	19	245
74	19	245
75	20	245
76	20	244
77	20	244
78	21	244
79	21	244
80	21	244
81	21	243
82	21	242
83	22	242
84	22	243
85	22	243
86	23	243
87	23	244
88	23	244
89	24	244
90	24	243
91	24	243
92	24	243
93	25	243
94	25	243
95	25	243
96	26	243
97	26	242
98	26	242
99	27	243
100	27	241
101	27	241
102	27	241
103	27	240
104	28	238
105	28	238
106	28	238
107	28	236
108	28	235
109	29	235
110	29	235
111	29	236
112	30	236
113	30	236
114	30	236
115	31	236
116	31	236
117	31	235
118	31	235
119	32	235
120	32	235
121	32	235
122	33	235
123	33	235
124	33	234
125	33	234
126	34	234
127	34	232
128	34	232
129	34	232
130	35	232
131	35	232
132	35	232
133	35	232
134	36	232
135	36	232
136	36	232
137	37	232
138	37	232
139	37	232
140	38	231
141	38	231
142	38	231
143	38	230
144	39	230
145	39	230
146	39	230
147	39	229
148	40	229
149	40	229
150	40	229
151	41	229
152	41	228
153	41	227
154	41	227
155	41	226
156	42	226
157	42	227
158	42	226
159	43	225
160	43	225
161	43	225
162	43	225
163	44	225
164	44	225
165	44	224
166	44	224
167	45	223
168	45	223
169	45	223
170	46	223
171	46	223
172	46	223
173	47	223
174	47	223
175	47	223
176	47	222
177	48	222
178	48	222
179	48	222
180	49	221
181	49	221
182	49	221
183	49	221
184	50	221
185	50	221
186	50	221
187	51	221
188	51	220
189	51	220
190	52	220
191	52	220
192	52	220
193	52	219
194	53	219
195	53	219
196	53	219
197	54	219
198	54	219
199	54	219
200	55	219
201	55	219
202	55	218
203	55	218
204	56	218
205	56	218
206	56	217
207	57	217
208	57	216
209	57	216
210	57	216
211	58	216
212	58	216
213	58	215
214	59	215
215	59	215
216	59	215
217	60	215
218	60	215
219	60	215
220	60	214
221	61	214
222	61	214
223	61	213
224	62	213
225	62	213
226	62	213
227	62	212
228	63	212
229	63	212
230	63	212
231	64	212
232	64	211
233	64	211
234	64	211
235	65	211
236	65	210
237	65	210
238	66	210
239	66	210
240	66	210
241	67	209
242	67	209
243	67	209
244	67	209
245	68	209
246	68	209
247	68	208
248	69	208
249	69	208
250	69	208
251	70	208
252	70	207
253	70	207
254	70	207
255	71	207
256	71	206
257	71	206
258	72	206
259	72	206
260	72	206
261	73	205
262	73	205
263	73	205
264	73	204
265	74	204
266	74	204
267	74	204
268	75	203
269	75	203
270	75	203
271	75	203
272	76	203
273	76	202
274	76	202
275	77	202
276	77	202
277	77	202
278	78	201
279	78	201
280	78	201
281	78	201
282	79	200
283	79	200
284	79	200
285	80	200
286	80	199
287	80	199
288	81	199
289	81	199
290	81	198
291	81	198
292	82	198
293	82	198
294	82	197
295	83	197
296	83	197
297	83	197
298	84	196
299	84	196
300	84	196
301	84	196
302	85	195
303	85	195
304	85	195
305	86	195
306	86	194
307	86	194
308	87	194
309	87	194
310	87	194
311	87	193
312	88	193
313	88	193
314	88	193
315	89	192
316	89	192
317	89	192
318	90	192
319	90	192
320	90	191
321	91	191
322	91	191
323	91	191
324	91	190
325	92	190
326	92	190
327	92	190
328	92	189
329	93	189
330	93	189
331	93	188
332	94	188
333	94	188
334	94	188
335	95	187
336	95	187
337	95	187
338	96	187
339	96	187
340	96	186
341	97	186
342	97	186
343	97	186
344	97	185
345	98	185
346	98	185
347	98	185
348	99	184
349	99	184
350	99	184
351	100	184
352	100	183
353	100	183
354	100	183
355	101	183
356	101	182
357	101	182
358	102	182
359	102	181
360	102	181
361	102	181
362	103	181
363	103	180
364	103	180
365	104	180
366	104	180
367	104	179
368	104	179
369	105	179
370	105	179
371	105	178
372	106	178
373	106	178
374	106	178
375	107	177
376	107	177
377	107	177
378	108	177
379	108	176
380	108	176
381	109	176
382	109	176
383	109	175
384	109	175
385	110	175
386	110	175
387	110	174
388	111	174
389	111	174
390	111	174
391	112	173
392	112	173
393	112	173
394	113	173
395	113	172
396	113	172
397	113	172
398	114	172
399	114	171
400	114	171
401	115	171
402	115	170
403	115	170
404	116	170
405	116	170
406	116	169
407	116	169
408	117	169
409	117	169
410	117	168
411	118	168
412	118	168
413	118	168
414	119	167
415	119	167
416	119	167
417	119	166
418	120	166
419	120	166
420	120	166
421	121	165
422	121	165
423	121	165
424	121	165
425	122	164
426	122	164
427	122	164
428	123	163
429	123	163
430	123	163
431	123	162
432	124	162
433	124	162
434	124	162
435	125	161
436	125	161
437	125	161
438	126	161
439	126	160
440	126	160
441	127	160
442	127	160
443	127	159
444	128	159
445	128	159
446	128	159
447	128	158
448	129	158
449	129	158
450	129	157
451	129	157
452	130	157
453	130	156
454	130	156
455	131	156
456	131	156
457	131	155
458	132	155
459	132	155
460	132	155
461	132	154
462	133	154
463	133	154
464	133	154
465	134	153
466	134	153
467	134	153
468	135	152
469	135	152
470	135	152
471	135	152
472	136	151
473	136	151
474	136	151
475	137	150
476	137	150
477	137	150
478	138	150
479	138	149
480	138	149
481	138	149
482	139	149
483	139	148
484	139	148
485	140	148
486	140	147
487	140	147
488	141	147
489	141	147
490	141	146
491	141	146
492	142	146
493	142	146
494	142	145
495	143	145
496	143	145
497	143	145
498	144	144
499	144	144
500	144	144
501	145	144
502	145	143
503	145	143
504	146	143
505	146	142
506	146	142
507	147	142
508	147	142
509	147	141
510	147	141
511	148	141
512	148	141
513	148	140
514	149	140
515	149	140
516	149	140
517	150	139
518	150	139
519	150	139
520	151	138
521	151	138
522	151	138
523	152	138
524	152	137
525	152	137
526	152	137
527	153	136
528	153	136
529	153	136
530	154	136
531	154	135
532	154	135
533	155	135
534	155	135
535	155	134
536	155	134
537	156	134
538	156	133
539	156	133
540	157	133
541	157	133
542	157	132
543	158	132
544	158	132
545	158	131
546	158	131
547	159	131
548	159	131
549	159	130
550	160	130
551	160	130
552	160	129
553	161	129
554	161	129
555	161	129
556	161	128
557	162	128
558	162	128
559	162	127
560	163	127
561	163	127
562	163	127
563	164	126
564	164	126
565	164	126
566	164	125
567	165	125
568	165	125
569	165	125
570	166	124
571	166	124
572	166	124
573	167	124
574	167	123
575	167	123
576	168	123
577	168	122
578	168	122
579	168	122
580	169	122
581	169	121
582	169	121
583	170	121
584	170	120
585	170	120
586	171	120
587	171	120
588	171	119
589	171	119
590	172	119
591	172	118
592	172	118
593	173	118
594	173	118
595	173	117
596	173	117
597	174	117
598	174	116
599	174	116
600	175	116
601	175	116
602	175	115
603	176	115
604	176	115
605	176	114
606	176	114
607	177	114
608	177	113
609	177	113
610	178	113
611	178	113
612	178	112
613	179	112
614	179	112
615	179	111
616	179	111
617	180	111
618	180	111
619	180	110
620	180	110
621	181	110
622	181	109
623	181	109
624	182	109
625	182	109
626	182	108
627	183	108
628	183	108
629	183	107
630	183	107
631	184	107
632	184	106
633	184	106
634	184	106
635	185	105
636	185	105
637	185	105
638	185	105
639	186	104
640	186	104
641	186	104
642	187	103
643	187	103
644	187	103
645	188	103
646	188	102
647	188	102
648	188	102
649	189	101
650	189	101
651	189	101
652	190	100
653	190	100
654	190	100
655	190	100
656	191	99
657	191	99
658	191	99
659	192	98
660	192	98
661	192	98
662	192	98
663	193	97
664	193	97
665	193	97
666	193	96
667	194	96
668	194	96
669	194	95
670	195	95
671	195	95
672	195	95
673	196	94
674	196	94
675	196	94
676	196	93
677	197	93
678	197	93
679	197	93
680	197	92
681	198	92
682	198	92
683	198	91
684	199	91
685	199	91
686	199	90
687	200	90
688	200	90
689	200	90
690	200	89
691	201	89
692	201	89
693	201	89
694	202	88
695	202	88
696	202	88
697	203	87
698	203	87
699	203	87
700	203	86
701	204	86
702	204	86
703	204	86
704	204	85
705	205	85
706	205	85
707	205	84
708	206	84
709	206	84
710	206	84
711	207	83
712	207	83
713	207	83
714	207	82
715	208	82
716	208	82
717	208	82
718	209	81
719	209	81
720	209	81
721	210	80
722	210	80
723	210	80
724	211	80
725	211	79
726	211	79
727	211	79
728	212	78
729	212	78
730	212	78
731	212	77
732	213	77
733	213	77
734	213	77
735	214	76
736	214	76
737	214	76
738	215	75
739	215	75
740	215	75
741	216	75
742	216	74
743	216	74
744	216	74
745	217	73
746	217	73
747	217	73
748	218	73
749	218	72
750	218	72
751	219	72
752	219	71
753	219	71
754	220	71
755	220	71
756	220	70
757	220	70
758	221	70
759	221	69
760	221	69
761	222	69
762	222	69
763	222	68
764	223	68
765	223	68
766	223	67
767	223	67
768	224	67
769	224	67
770	224	66
771	225	66
772	225	66
773	225	65
774	225	65
775	226	65
776	226	65
777	226	64
778	227	64
779	227	64
780	227	63
781	228	63
782	228	63
783	228	63
784	228	62
785	229	62
786	229	62
787	229	61
788	230	61
789	230	61
790	230	60
791	231	60
792	231	60
793	231	60
794	231	59
795	232	59
796	232	59
797	232	58
798	233	58
799	233	58
800	233	58
801	234	57
802	234	57
803	234	57
804	234	56
805	235	56
806	235	56
807	235	56
808	236	55
809	236	55
810	236	55
811	236	54
812	237	54
813	237	54
814	237	53
815	238	53
816	238	53
817	238	53
818	238	52
819	239	52
820	239	52
821	239	51
822	240	51
823	240	51
824	240	51
825	241	50
826	241	50
827	241	50
828	242	49
829	242	49
830	242	49
831	242	49
832	243	48
833	243	48
834	243	48
835	244	47
836	244	47
837	244	47
838	245	47
839	245	46
840	245	46
841	246	46
842	246	45
843	246	45
844	246	45
845	247	44
846	247	44
847	247	44
848	248	44
849	248	43
850	248	43
851	248	43
852	249	42
853	249	42
854	249	42
855	250	42
856	250	41
857	250	41
858	250	41
859	251	40
860	251	40
861	251	40
862	252	40
863	252	39
864	252	39
865	253	39
866	253	38
867	253	38
868	253	38
869	254	37
870	254	37
871	254	37
872	255	37
873	255	36
874	255	36
875	255	36
876	256	35
877	256	35
878	256	35
879	257	35
880	257	34
881	257	34
882	258	34
883	258	33
884	258	33
885	259	33
886	259	33
887	259	32
888	259	32
889	260	32
890	260	31
891	260	31
892	261	31
893	261	30
894	261	30
895	261	30
896	262	30
897	262	29
898	262	29
899	263	29
900	263	28
901	263	28
902	264	28
903	264	28
904	264	27
905	264	27
906	265	27
907	265	26
908	265	26
909	266	26
910	266	26
911	266	25
912	266	25
913	267	25
914	267	24
915	267	24
916	268	24
917	268	23
918	268	23
919	269	23
920	269	23
921	269	22
922	270	22
923	270	22
924	270	21
925	270	21
926	271	21
927	271	21
928	271	20
929	272	20
930	272	20
931	272	19
932	273	19
933	273	19
934	273	19
935	274	18
936	274	18
937	274	18
938	274	17
939	275	17
940	275	17
941	275	16
942	276	16
943	276	16
944	276	16
945	276	15
946	277	15
947	277	15
948	277	14
949	278	14
950	278	14
951	278	14
952	279	13
953	279	13
954	279	13
955	279	12
956	280	12
957	280	12
958	280	12
959	281	11
960	281	11
961	281	11
962	281	10
963	282	10
964	282	10
965	282	9
966	283	9
967	283	9
968	283	9
969	284	8
970	284	8
971	284	8
972	285	7
973	285	7
974	285	7
975	286	7
976	286	6
977	286	6
978	286	6
979	287	5
980	287	5
981	287	5
982	288	4
983	288	4
984	288	4
985	289	4
986	289	3
987	289	3
988	289	3
989	290	2
990	290	2
991	290	2
992	291	2
993	291	1
994	291	1
995	291	1
996	292	0
997	292	0
998	292	0
999	293	0
